scene,floor,question,choices,question_formatted,answer,label
00333-LLecyBe5Eq2,0,Can you find me the air purifier?,"['Next to sofa', 'Next to dining table', 'In the bedroom', 'In the bathroom']",Can you find me the air purifier? A) Next to sofa B) Next to dining table C) In the bedroom D) In the bathroom. Answer:,B,state
00333-LLecyBe5Eq2,1,I'm trying to remember where I placed my decorative pine cone.,"['On the bedstand', 'Next to TV in the living space', 'On the bathroom sink', 'On the small desk in the dining space']",I'm trying to remember where I placed my decorative pine cone. A) On the bedstand B) Next to TV in the living space C) On the bathroom sink D) On the small desk in the dining space. Answer:,D,location
00333-LLecyBe5Eq2,1,Which towel is next to the bathrub?,"['White', 'Blue', 'Brown', 'Gray']",Which towel is next to the bathrub? A) White B) Blue C) Brown D) Gray. Answer:,D,location
00339-T7nCRmufFNR,0,Which blanket is on the bed next to the office desk?,"['Blue', 'Black', 'White', 'Orange']",Which blanket is on the bed next to the office desk? A) Blue B) Black C) White D) Orange. Answer:,A,identification
00342-C6JvMamYTRg,0,I am looking for my black-white checkered blancket.,"['On the bed', 'On the big armchair', 'In the bathroom', 'On the large sofa']",I am looking for my black-white checkered blancket. A) On the bed B) On the big armchair C) In the bathroom D) On the large sofa. Answer:,B,identification
00343-5graSmdK3Bj,0,How many additional chairs are there next to the dining table against the wall?,"['Three', 'One', 'Two', 'None']",How many additional chairs are there next to the dining table against the wall? A) Three B) One C) Two D) None. Answer:,C,location
00347-bwoBmU23M2N,0,I'm trying to remember where I placed the cat's scratching post.,"['In the garage', 'In the living room', 'In the bedroom', 'In the entryway']",I'm trying to remember where I placed the cat's scratching post. A) In the garage B) In the living room C) In the bedroom D) In the entryway. Answer:,D,count
00347-bwoBmU23M2N,1,Which fruit is there at the top of fruit bowl?,"['Banana', 'Apple', 'Orange', 'Grapes']",Which fruit is there at the top of fruit bowl? A) Banana B) Apple C) Orange D) Grapes. Answer:,A,location
00349-p32JzpQyhPk,0,Is there any pot left on the stove?,"['There is one', 'There is none', 'There are two', 'There are three']",Is there any pot left on the stove? A) There is one B) There is none C) There are two D) There are three. Answer:,A,identification
00349-p32JzpQyhPk,1,I was doing some cleaning and can't recall where I left the waste bin. Where is it?,"['In the living room', 'In the hallway', 'At the bed foot', 'In the office']",I was doing some cleaning and can't recall where I left the waste bin. Where is it? A) In the living room B) In the hallway C) At the bed foot D) In the office. Answer:,D,existence
00353-8qbZhbTc1wX,0,Which rug did I leave at the bathtub?,"['Gray one', 'White one', 'Blue one', 'Black one']",Which rug did I leave at the bathtub? A) Gray one B) White one C) Blue one D) Black one. Answer:,A,location
00354-NpCFg9NdUgL,1,I am expecting a package. Is there one by the entrance door?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",I am expecting a package. Is there one by the entrance door? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,C,identification
00356-RYzud5W7ZnC,0,I am looking for my briefcase. Is is on my office desk?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",I am looking for my briefcase. Is is on my office desk? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,D,existence
00356-RYzud5W7ZnC,0,What color is the office desk chair?,"['Red', 'White', 'Green', 'Black']",What color is the office desk chair? A) Red B) White C) Green D) Black. Answer:,C,existence
00357-TzQLNfWugiZ,0,I want to unplug the window air conditioning unit but not sure if I did.,"['Yes, it is unplugged', '(Do not choose this option)', '(Do not choose this option)', 'No, it is still plugged in']","I want to unplug the window air conditioning unit but not sure if I did. A) Yes, it is unplugged B) (Do not choose this option) C) (Do not choose this option) D) No, it is still plugged in. Answer:",D,state
00359-aTf5zsbjZMb,0,Which rug is there on the kitchen floor right now?,"['Black one', 'Brown one', 'Gray one', 'Blue one']",Which rug is there on the kitchen floor right now? A) Black one B) Brown one C) Gray one D) Blue one. Answer:,C,identification
00359-aTf5zsbjZMb,0,Guest is coming. Is there any hand towel in the bathroom?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Guest is coming. Is there any hand towel in the bathroom? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00359-aTf5zsbjZMb,1,Is there any white paper on the printer?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Is there any white paper on the printer? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,A,existence
00360-yA3RqPqMrGE,0,Is the piano lid down?,"['(Do not choose this option)', 'Yes, it is down', 'No, it is up still', '(Do not choose this option)']","Is the piano lid down? A) (Do not choose this option) B) Yes, it is down C) No, it is up still D) (Do not choose this option). Answer:",B,state
00360-yA3RqPqMrGE,0,How many chairs we have at dining table?,"['Three', 'Four', 'One', 'Two']",How many chairs we have at dining table? A) Three B) Four C) One D) Two. Answer:,B,count
00362-o94q92w5PK5,0,I want to make sure I left the red kitchen mat in place.,"['It is in front of dishwasher', 'It is in front of sink', 'It is in front of refrigerator', 'It is in front of kitchen island']",I want to make sure I left the red kitchen mat in place. A) It is in front of dishwasher B) It is in front of sink C) It is in front of refrigerator D) It is in front of kitchen island. Answer:,C,existence
00362-o94q92w5PK5,0,Is the living room TV turned off?,"['Yes, it is off', 'No, it is still on', '(Do not choose this option)', '(Do not choose this option)']","Is the living room TV turned off? A) Yes, it is off B) No, it is still on C) (Do not choose this option) D) (Do not choose this option). Answer:",A,state
00364-tEafuWwhhwr,0,What did I leave at the corner of the kitchen countertop?,"['Rice cooker', 'Mixer', 'Pot', 'Microwave']",What did I leave at the corner of the kitchen countertop? A) Rice cooker B) Mixer C) Pot D) Microwave. Answer:,B,identification
00364-tEafuWwhhwr,0,Which pillow is on the green chair on the porch?,"['Blue', 'Red', 'White', 'Yellow']",Which pillow is on the green chair on the porch? A) Blue B) Red C) White D) Yellow. Answer:,A,identification
00364-tEafuWwhhwr,1,I'm looking for my pair of brown shoes. Are they under the armchair in the bedroom?,"['Yes, they are under the armchair.', '(Do not choose this option)', 'No, they are not under the armchair.', '(Do not choose this option)']","I'm looking for my pair of brown shoes. Are they under the armchair in the bedroom? A) Yes, they are under the armchair. B) (Do not choose this option) C) No, they are not under the armchair. D) (Do not choose this option). Answer:",C,existence
00366-fxbzYAGkrtm,0,I am looking for my boots. Are they on the stairs by the entrance door?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I am looking for my boots. Are they on the stairs by the entrance door? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,B,existence
00366-fxbzYAGkrtm,1,How many pillows I put on the bed with red bedding?,"['None', 'Two', 'One', 'Four']",How many pillows I put on the bed with red bedding? A) None B) Two C) One D) Four. Answer:,A,count
00368-k9UfRPqLm3j,0,Is the patio door open?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Is the patio door open? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,C,state
00368-k9UfRPqLm3j,1,Is the shower curtain on or off?,"['(Do not choose this option)', 'On', '(Do not choose this option)', 'Off']",Is the shower curtain on or off? A) (Do not choose this option) B) On C) (Do not choose this option) D) Off. Answer:,B,state
00369-FgXPKxNp5kK,0,Did I leave any pot on the stove?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Did I leave any pot on the stove? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,existence
00369-FgXPKxNp5kK,1,Is there stuff to be cleaned up from the kitchen floor?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is there stuff to be cleaned up from the kitchen floor? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,B,existence
00371-6AGcGQf2wof,0,Which pillows are on the bed?,"['Gray', 'White', 'Blue', 'Black']",Which pillows are on the bed? A) Gray B) White C) Blue D) Black. Answer:,B,identification
00373-WPzCkWEorzk,0,What did I leave on the eye-shaped coffee table?,"['Purse', 'Books', 'Mug', 'Nothing']",What did I leave on the eye-shaped coffee table? A) Purse B) Books C) Mug D) Nothing. Answer:,D,identification
00376-wxixLWuvLjd,0,I'm trying to remember where I placed the decorative star. It is on the shelf next to the television?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",I'm trying to remember where I placed the decorative star. It is on the shelf next to the television? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00376-wxixLWuvLjd,0,Is the black recliner chair positioned facing the window?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is the black recliner chair positioned facing the window? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,state
00376-wxixLWuvLjd,0,Is the fruit bowl left on the kitchen countertop?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the fruit bowl left on the kitchen countertop? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00377-Fgtk7tL8R9Y,0,Where is the yellow bean bag sofa?,"['In the storage room', 'In front of bathroom', 'In the kitchen', 'Under the TV']",Where is the yellow bean bag sofa? A) In the storage room B) In front of bathroom C) In the kitchen D) Under the TV. Answer:,D,location
00377-Fgtk7tL8R9Y,0,Where did I leave the fruit bowl in the kitchen?,"['Next to refrigerator', 'Next to microwave', 'On the shelf', 'On the countertop']",Where did I leave the fruit bowl in the kitchen? A) Next to refrigerator B) Next to microwave C) On the shelf D) On the countertop. Answer:,C,location
00381-pmZMJfFd3Jy,0,Where is the exercise trampoline?,"['In the basement', 'On the porch', 'Next to bed', 'Next to sofa']",Where is the exercise trampoline? A) In the basement B) On the porch C) Next to bed D) Next to sofa. Answer:,C,location
00381-pmZMJfFd3Jy,0,I need to find my suitcase. Is it located in the hallway?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",I need to find my suitcase. Is it located in the hallway? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,C,existence
00386-b3WpMbPFB6q,0,I can't find my laptop anywhere.,"['On the sofa', 'On the kitchen island', 'On the wooden desk', 'On the bed']",I can't find my laptop anywhere. A) On the sofa B) On the kitchen island C) On the wooden desk D) On the bed. Answer:,C,location
00386-b3WpMbPFB6q,0,Is my jacket left on the staircase?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is my jacket left on the staircase? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00388-pcpn6mFqFCg,0,Is the kettle on the coffee table?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the kettle on the coffee table? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,existence
00388-pcpn6mFqFCg,0,Which rug did I put next to the kitchen sink?,"['There is no rug', 'Gray one', 'White one', 'Green one']",Which rug did I put next to the kitchen sink? A) There is no rug B) Gray one C) White one D) Green one. Answer:,A,identification
00389-d6bYiL1d9Fh,0,How many chairs are there around the dining table now?,"['Six', 'Eight', 'Two', 'Four']",How many chairs are there around the dining table now? A) Six B) Eight C) Two D) Four. Answer:,A,count
00389-d6bYiL1d9Fh,1,I was reading a magazine last night and can't seem to find it.,"['On the kitchen counter', 'On the dining room table', 'Near the bathroom', 'On the living room coffee table']",I was reading a magazine last night and can't seem to find it. A) On the kitchen counter B) On the dining room table C) Near the bathroom D) On the living room coffee table. Answer:,D,existence
00389-d6bYiL1d9Fh,1,Is the closet door in the bedroom closed?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Is the closet door in the bedroom closed? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00391-3UDjdrwcqMb,0,I'm expecting guests and need to tidy up. Are there any pillows lying around in the bedroom with brown bedding?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",I'm expecting guests and need to tidy up. Are there any pillows lying around in the bedroom with brown bedding? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,D,existence
00391-3UDjdrwcqMb,0,Where are the dog food bowls?,"['In front of bathroom', 'Next to kitchen sink', 'Next to sofa', 'Next to TV']",Where are the dog food bowls? A) In front of bathroom B) Next to kitchen sink C) Next to sofa D) Next to TV. Answer:,B,location
00393-dD37vuCa4FE,0,Is the patio door left open?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Is the patio door left open? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,A,state
00393-dD37vuCa4FE,0,Which fruit is there in the fruit bowl?,"['Yellow ones', 'Green ones', 'Red ones', 'Black ones']",Which fruit is there in the fruit bowl? A) Yellow ones B) Green ones C) Red ones D) Black ones. Answer:,B,identification
00396-wuKkTq5GJbi,0,Where exactly is the guitar in the bedroom?,"['On the desk', 'Against the wall', 'At bathroom door', 'On the bed']",Where exactly is the guitar in the bedroom? A) On the desk B) Against the wall C) At bathroom door D) On the bed. Answer:,D,location
00396-wuKkTq5GJbi,1,Is the kettle left on the kitchen counter?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Is the kettle left on the kitchen counter? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,existence
00396-wuKkTq5GJbi,1,How many jackets are we hanging in the hallway?,"['More than five', 'Three', 'None', 'One']",How many jackets are we hanging in the hallway? A) More than five B) Three C) None D) One. Answer:,A,count
00397-ZNanfzgCdm3,0,Are curtains closed in the bedroom?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Are curtains closed in the bedroom? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,C,state
00397-ZNanfzgCdm3,0,Where are the laptops?,"['On the sidetable next to sofa', 'On kitchen counter', 'Next to TV in bedroom', 'On dining table']",Where are the laptops? A) On the sidetable next to sofa B) On kitchen counter C) Next to TV in bedroom D) On dining table. Answer:,A,location
00398-Vnb6uKtzQCU,0,How many cues are there on the pool table?,"['One', 'More than three', 'Two', 'None']",How many cues are there on the pool table? A) One B) More than three C) Two D) None. Answer:,D,count
00399-XokRUNE3gB1,1,Where is the telephone?,"['Yes, on the sidetable next to sofa', 'Yes, under the TV', 'Yes, on the bedroom desk', 'Yes, on the dining table']","Where is the telephone? A) Yes, on the sidetable next to sofa B) Yes, under the TV C) Yes, on the bedroom desk D) Yes, on the dining table. Answer:",A,location
00400-KcHdFEzySGq,0,How many dining chairs are around the table in the dining area?,"['Five', 'Four', 'Six', 'Three']",How many dining chairs are around the table in the dining area? A) Five B) Four C) Six D) Three. Answer:,C,count
00400-KcHdFEzySGq,0,Where did I leave the bag of trash?,"['Near the front door', 'Next to sofa', 'Next to the fire place', 'In the bathroom']",Where did I leave the bag of trash? A) Near the front door B) Next to sofa C) Next to the fire place D) In the bathroom. Answer:,A,location
00404-QN2dRqwd84J,0,Is the television in the bedroom left on?,"['(Do not choose this option)', 'No, it is off', 'Yes, it is on', '(Do not choose this option)']","Is the television in the bedroom left on? A) (Do not choose this option) B) No, it is off C) Yes, it is on D) (Do not choose this option). Answer:",B,state
00405-q28T9C3q2dv,0,Where did my husband move the treadmill to?,"['Behind the bedroom door', 'Next to the living room couch', 'In the storage room', 'Next to dining table']",Where did my husband move the treadmill to? A) Behind the bedroom door B) Next to the living room couch C) In the storage room D) Next to dining table. Answer:,C,location
00405-q28T9C3q2dv,2,Is the hair dryer still left on the vanity top?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the hair dryer still left on the vanity top? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00410-v7DzfFFEpsD,0,Which side of the front door is the plant now?,"['Left side', '(Do not choose this option)', 'Right side', 'There is no plant there']",Which side of the front door is the plant now? A) Left side B) (Do not choose this option) C) Right side D) There is no plant there. Answer:,C,state
00410-v7DzfFFEpsD,1,I need to find my Louis Vuitton box.,"[""In the children's room"", 'In the closet', 'In the hallway', 'In the bathroom']",I need to find my Louis Vuitton box. A) In the children's room B) In the closet C) In the hallway D) In the bathroom. Answer:,B,location
00410-v7DzfFFEpsD,1,Which pillow is there on the armchair in the main bedroom?,"['Red one', 'White one', 'Black one', 'Green one']",Which pillow is there on the armchair in the main bedroom? A) Red one B) White one C) Black one D) Green one. Answer:,D,identification
00411-o4tckGBtaxz,0,I am going to work out. Is the air conditioning near the exercise equipment turned on already?,"['Yes, it is on', '(Do not choose this option)', 'No, it is off', '(Do not choose this option)']","I am going to work out. Is the air conditioning near the exercise equipment turned on already? A) Yes, it is on B) (Do not choose this option) C) No, it is off D) (Do not choose this option). Answer:",C,state
00411-o4tckGBtaxz,0,I'm trying to recall where the robot vacuum is parked.,"['In the living room', 'In the hallway', 'In the bathroom', 'In the bedroom']",I'm trying to recall where the robot vacuum is parked. A) In the living room B) In the hallway C) In the bathroom D) In the bedroom. Answer:,A,location
00411-o4tckGBtaxz,1,Which fruit do we have in the kitchen?,"['Oranges', 'Apples', 'Watermelons', 'Bananas']",Which fruit do we have in the kitchen? A) Oranges B) Apples C) Watermelons D) Bananas. Answer:,A,identification
00412-mDPCxA7W1WN,0,Is the air conditioning in the living room plugged in or not?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Is the air conditioning in the living room plugged in or not? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,A,state
00412-mDPCxA7W1WN,0,How many small plants are there next to the kitchen sink?,"['One', 'None', 'Three', 'More than five']",How many small plants are there next to the kitchen sink? A) One B) None C) Three D) More than five. Answer:,A,count
00412-mDPCxA7W1WN,1,Is there some white paper right on top of the printer?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there some white paper right on top of the printer? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00414-77mMEyxhs44,0,Is the monitor left on?,"['(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)', 'No, it is blank']","Is the monitor left on? A) (Do not choose this option) B) Yes, it is on C) (Do not choose this option) D) No, it is blank. Answer:",D,state
00414-77mMEyxhs44,1,I'm looking for my blue check-patterned blanket. Where is it?,"['In the hallway', 'On the bed in the main bedroom', 'In the bathroom', 'On the bed in the smaller bedroom']",I'm looking for my blue check-patterned blanket. Where is it? A) In the hallway B) On the bed in the main bedroom C) In the bathroom D) On the bed in the smaller bedroom. Answer:,B,location
00415-rBmEe6ab5VP,0,Which towel is there at the oven?,"['Blue one', 'Gray one', 'Yellow one', 'Red one']",Which towel is there at the oven? A) Blue one B) Gray one C) Yellow one D) Red one. Answer:,A,identification
00415-rBmEe6ab5VP,0,Is the walk-in closet door left open?,"['No, it is closed', '(Do not choose this option)', '(Do not choose this option)', 'Yes, it is open']","Is the walk-in closet door left open? A) No, it is closed B) (Do not choose this option) C) (Do not choose this option) D) Yes, it is open. Answer:",D,state
00418-t6tH2pNA9X5,0,How many pendant lights are hanging above the kitchen island?,"['Two', 'Four', 'Three', 'One']",How many pendant lights are hanging above the kitchen island? A) Two B) Four C) Three D) One. Answer:,A,count
00418-t6tH2pNA9X5,0,"I'm trying to remember where I placed the round, blue cushion.","['On the living room floor', 'On the kitchen chair', 'On the sofa in the living area', 'On the armchair in the living area']","I'm trying to remember where I placed the round, blue cushion. A) On the living room floor B) On the kitchen chair C) On the sofa in the living area D) On the armchair in the living area. Answer:",A,location
00419-fbUcgfPMBDr,0,What is left on top of the drawers next to the office desk?,"['A backpack', 'A laptop', 'A stack of white paper', 'A few books']",What is left on top of the drawers next to the office desk? A) A backpack B) A laptop C) A stack of white paper D) A few books. Answer:,C,identification
00420-R6Byftz8wRN,1,"Are the bedside lamps on, the ones next to the bed with blue bedding?","['Yes, both are on', 'Only right one is on', 'Only left one is on', 'No, both of them are off']","Are the bedside lamps on, the ones next to the bed with blue bedding? A) Yes, both are on B) Only right one is on C) Only left one is on D) No, both of them are off. Answer:",D,state
00423-bEdki9cbHDG,0,Does this house have some weights for lifting?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Does this house have some weights for lifting? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,D,existence
00423-bEdki9cbHDG,0,What kind of stove is there in this house?,"['Gas stove', 'Induction stove', '(Do not choose this option)', 'Electric stove']",What kind of stove is there in this house? A) Gas stove B) Induction stove C) (Do not choose this option) D) Electric stove. Answer:,B,identification
00423-bEdki9cbHDG,1,How many pillows are there on the lower bunk bed?,"['One', 'None', 'Three', 'Two']",How many pillows are there on the lower bunk bed? A) One B) None C) Three D) Two. Answer:,B,count
00423-bEdki9cbHDG,1,What did I leave on the corner office desk?,"['Printer', 'Backpack', 'Laptop', 'Nothing']",What did I leave on the corner office desk? A) Printer B) Backpack C) Laptop D) Nothing. Answer:,D,identification
00424-Hsk3jDzNySy,0,I'm trying to remember which tablecloth we have on the dining table.,"['White one', 'Blue one', 'Red one', 'Gray one']",I'm trying to remember which tablecloth we have on the dining table. A) White one B) Blue one C) Red one D) Gray one. Answer:,C,identification
00424-Hsk3jDzNySy,0,Are the French closet doors in the room with orange walls open or closed?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Are the French closet doors in the room with orange walls open or closed? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00425-SSbSnMigayt,0,How many stuffed animals are on top of the bookshelf in the bedroom?,"['Three', 'Two', 'One', 'Four']",How many stuffed animals are on top of the bookshelf in the bedroom? A) Three B) Two C) One D) Four. Answer:,B,count
00425-SSbSnMigayt,0,Is the television in the bedroom turned off?,"['(Do not choose this option)', ""No, it's on."", ""Yes, it's off."", '(Do not choose this option)']","Is the television in the bedroom turned off? A) (Do not choose this option) B) No, it's on. C) Yes, it's off. D) (Do not choose this option). Answer:",C,state
00425-SSbSnMigayt,1,How many remotes did I leave on the red ottoman next to sofa?,"['None', 'Two', 'One', 'Three']",How many remotes did I leave on the red ottoman next to sofa? A) None B) Two C) One D) Three. Answer:,B,count
00426-X9fRPGxw1jS,0,Is there a guitar leaning against the bookshelf in the room with the wooden floor?,"['Yes', 'No', '(Do not choose this option)', '(Do not choose this option)']",Is there a guitar leaning against the bookshelf in the room with the wooden floor? A) Yes B) No C) (Do not choose this option) D) (Do not choose this option). Answer:,A,existence
00426-X9fRPGxw1jS,0,Is there an oven in the kitchen?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there an oven in the kitchen? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00427-P3hmFK6Ejnf,0,Where is the kettle?,"['Coffee table', 'Kitchen island', 'Kitchen countertop', 'Dining table']",Where is the kettle? A) Coffee table B) Kitchen island C) Kitchen countertop D) Dining table. Answer:,C,location
00427-P3hmFK6Ejnf,2,Which rug is there at the kitchen sink?,"['Blue one', 'Gray one', 'None', 'Red one']",Which rug is there at the kitchen sink? A) Blue one B) Gray one C) None D) Red one. Answer:,C,identification
00430-P8L1328HrLi,0,Guest is coming. Is the air conditioning in the living room turned on?,"['Yes, it is on', '(Do not choose this option)', '(Do not choose this option)', 'No, it is off']","Guest is coming. Is the air conditioning in the living room turned on? A) Yes, it is on B) (Do not choose this option) C) (Do not choose this option) D) No, it is off. Answer:",A,state
00430-P8L1328HrLi,0,Do you see the standing fan anywhere?,"['In the dining room', 'In the bedroom', 'In the kitchen', 'In the living room']",Do you see the standing fan anywhere? A) In the dining room B) In the bedroom C) In the kitchen D) In the living room. Answer:,B,location
00432-vCfHLVSyL21,0,I need to find my pair of black vases. Where are they?,"['Near the kitchen entrance', 'In the bedroom', 'Next to the fireplace', 'In the dining room']",I need to find my pair of black vases. Where are they? A) Near the kitchen entrance B) In the bedroom C) Next to the fireplace D) In the dining room. Answer:,C,location
00432-vCfHLVSyL21,1,I'm trying to remember where I placed the round mirror.,"['In the room with the single bed', '(Do not choose this option)', 'In the room with the double bed', 'In the room with the beige carpet and no furniture']",I'm trying to remember where I placed the round mirror. A) In the room with the single bed B) (Do not choose this option) C) In the room with the double bed D) In the room with the beige carpet and no furniture. Answer:,A,location
00432-vCfHLVSyL21,1,Which towel did I leave hanging next to shower?,"['Black', 'White', 'Green', 'Red']",Which towel did I leave hanging next to shower? A) Black B) White C) Green D) Red. Answer:,B,identification
00435-rmDFTEWfNcz,0,Which fruit is there next to the microwave?,"['Apple', 'Pineapple', 'Banana', 'Pear']",Which fruit is there next to the microwave? A) Apple B) Pineapple C) Banana D) Pear. Answer:,C,identification
00435-rmDFTEWfNcz,0,Is there a standing heater next to the bed?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there a standing heater next to the bed? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00436-TGVJHgmMGzi,0,I'm looking for my black shawl. Where is it?,"['Draped over the sofa', 'On the stair banister', 'On the dining table', 'Hanging on the bedroom wall']",I'm looking for my black shawl. Where is it? A) Draped over the sofa B) On the stair banister C) On the dining table D) Hanging on the bedroom wall. Answer:,D,location
00436-TGVJHgmMGzi,1,I want to make sure the dining area is ready for guests. How many dining chairs are there?,"['Five', 'Six', 'Seven', 'Four']",I want to make sure the dining area is ready for guests. How many dining chairs are there? A) Five B) Six C) Seven D) Four. Answer:,D,count
00436-TGVJHgmMGzi,1,Which carpet did I put at the entrance door?,"['There is no carpet', 'Red', 'Black', 'White']",Which carpet did I put at the entrance door? A) There is no carpet B) Red C) Black D) White. Answer:,D,identification
00438-XvJjCZv6SYp,1,Is the laptop lid closed?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is the laptop lid closed? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,state
00438-XvJjCZv6SYp,1,Where exactly is the woven basket in the kitchen?,"['On the floor', 'On top of refrigerator', 'On the countertop', 'On the island']",Where exactly is the woven basket in the kitchen? A) On the floor B) On top of refrigerator C) On the countertop D) On the island. Answer:,C,location
00440-wPLokgvCnuk,1,How many towels are there at the oven?,"['None', 'One', 'Five', 'Two']",How many towels are there at the oven? A) None B) One C) Five D) Two. Answer:,D,count
00440-wPLokgvCnuk,1,What did I leave on the coffee table?,"['Magazines', 'Mugs', 'Wallets', 'Laptops']",What did I leave on the coffee table? A) Magazines B) Mugs C) Wallets D) Laptops. Answer:,A,identification
00443-oz1yTAGPXkh,0,How many pieces of exercise equipment is there in the house?,"['One', 'Three', 'None', 'Two']",How many pieces of exercise equipment is there in the house? A) One B) Three C) None D) Two. Answer:,C,count
00443-oz1yTAGPXkh,0,Which jackets did I leave outside the closet?,"['Black ones', 'White ones', 'Blue ones', 'Gray ones']",Which jackets did I leave outside the closet? A) Black ones B) White ones C) Blue ones D) Gray ones. Answer:,A,identification
00444-sX9xad6ULKc,0,How many sets of utensils are there on the dining table?,"['None', 'Six', 'Four', 'Two']",How many sets of utensils are there on the dining table? A) None B) Six C) Four D) Two. Answer:,C,count
00444-sX9xad6ULKc,0,Are the curtains in the office closed?,"['(Do not choose this option)', 'No, they are open', 'Yes, they are closed', '(Do not choose this option)']","Are the curtains in the office closed? A) (Do not choose this option) B) No, they are open C) Yes, they are closed D) (Do not choose this option). Answer:",C,state
00445-H81QMurNRM8,0,Did I put down the laptop lid? It is in the office.,"['Yes, it is down', 'No, the laptop lid is up', '(Do not choose this option)', '(Do not choose this option)']","Did I put down the laptop lid? It is in the office. A) Yes, it is down B) No, the laptop lid is up C) (Do not choose this option) D) (Do not choose this option). Answer:",A,state
00445-H81QMurNRM8,0,Where is the silver trash can?,"['Next to dining table', 'Next to oven', 'Next to living room TV', 'Next to kitchen island']",Where is the silver trash can? A) Next to dining table B) Next to oven C) Next to living room TV D) Next to kitchen island. Answer:,D,location
00445-H81QMurNRM8,1,How many wooden benches are there in the office?,"['Three', 'None', 'One', 'Two']",How many wooden benches are there in the office? A) Three B) None C) One D) Two. Answer:,A,count
00446-tL6i2PtktSh,0,What color is the curtain in the bedroom?,"['Gray', 'Black', 'Blue', 'White']",What color is the curtain in the bedroom? A) Gray B) Black C) Blue D) White. Answer:,A,identification
